timestamp,N2EX,EPEX,SSP
01/04/2016 00:00,28.40,27.42,24.90
01/04/2016 00:30,28.40,28.04,26.95
01/04/2016 01:00,27.99,29.93,38.75
01/04/2016 01:30,27.99,33.10,140.00
01/04/2016 02:00,26.98,31.84,40.31
01/04/2016 02:30,26.98,28.57,24.60
01/04/2016 03:00,26.40,27.81,24.43
01/04/2016 03:30,26.40,26.65,24.48
01/04/2016 04:00,24.78,25.50,24.35
01/04/2016 04:30,24.78,24.31,24.20
01/04/2016 05:00,24.96,25.91,24.20
01/04/2016 05:30,24.96,25.97,24.35
01/04/2016 06:00,29.99,29.66,24.35
01/04/2016 06:30,29.99,27.74,23.78
01/04/2016 07:00,34.01,31.83,24.29
01/04/2016 07:30,34.01,29.36,23.50
01/04/2016 08:00,51.47,36.21,24.41
01/04/2016 08:30,51.47,31.60,22.10
01/04/2016 09:00,51.96,32.03,20.10
01/04/2016 09:30,51.96,29.55,20.10
01/04/2016 10:00,39.08,28.67,20.10
01/04/2016 10:30,39.08,27.24,20.10
01/04/2016 11:00,32.37,27.94,20.10
01/04/2016 11:30,32.37,27.00,20.10
01/04/2016 12:00,27.64,27.52,37.70
01/04/2016 12:30,27.64,27.18,20.68
01/04/2016 13:00,26.77,25.57,21.80
01/04/2016 13:30,26.77,26.28,20.00
01/04/2016 14:00,26.28,25.51,20.10
01/04/2016 14:30,26.28,26.43,20.10
01/04/2016 15:00,25.72,24.59,20.10
01/04/2016 15:30,25.72,25.39,20.10
01/04/2016 16:00,26.97,25.54,20.10
01/04/2016 16:30,26.97,26.15,20.10
01/04/2016 17:00,29.99,26.93,20.10
01/04/2016 17:30,29.99,26.30,20.10
01/04/2016 18:00,33.14,29.70,20.10
01/04/2016 18:30,33.14,27.61,20.10
01/04/2016 19:00,38.96,29.18,20.10
01/04/2016 19:30,38.96,39.21,20.10
01/04/2016 20:00,41.98,46.08,16.61
01/04/2016 20:30,41.98,39.24,20.12
01/04/2016 21:00,31.98,36.43,24.53
01/04/2016 21:30,31.98,28.18,24.55
