Date and Time,Period,Price
2017/07/01 00:00,1,81.71
2017/07/01 00:30,2,143.77
2017/07/01 01:00,3,42.40
2017/07/01 01:30,4,52.73
2017/07/01 02:00,5,41.26
2017/07/01 02:30,6,30.78
2017/07/01 03:00,7,32.07
2017/07/01 03:30,8,27.66
2017/07/01 04:00,9,25.09
2017/07/01 04:30,10,26.31
2017/07/01 05:00,11,28.69
2017/07/01 05:30,12,54.65
2017/07/01 06:00,13,49.65
2017/07/01 06:30,14,100.19
2017/07/01 07:00,15,268.63
2017/07/01 07:30,16,176.74
2017/07/01 08:00,17,209.46
2017/07/01 08:30,18,255.27
2017/07/01 09:00,19,165.71
2017/07/01 09:30,20,133.16
2017/07/01 10:00,21,100.95
2017/07/01 10:30,22,81.20
2017/07/01 11:00,23,196.92
2017/07/01 11:30,24,126.96
2017/07/01 12:00,25,98.44
2017/07/01 12:30,26,101.88
2017/07/01 13:00,27,205.03
2017/07/01 13:30,28,85.55
2017/07/01 14:00,29,68.94
2017/07/01 14:30,30,58.74
2017/07/01 15:00,31,78.57
2017/07/01 15:30,32,76.11
2017/07/01 16:00,33,88.14
2017/07/01 16:30,34,71.22
2017/07/01 17:00,35,88.05
2017/07/01 17:30,36,145.41
2017/07/01 18:00,37,272.76
2017/07/01 18:30,38,204.65
2017/07/01 19:00,39,157.94
2017/07/01 19:30,40,82.66
2017/07/01 20:00,41,88.47
2017/07/01 20:30,42,118.73
2017/07/01 21:00,43,99.28
2017/07/01 21:30,44,76.24
2017/07/01 22:00,45,68.79
2017/07/01 22:30,46,124.60
2017/07/01 23:00,47,128.87
2017/07/01 23:30,48,111.26
2017/07/02 00:00,1,80.15
2017/07/02 00:30,2,63.44
2017/07/02 01:00,3,62.85
2017/07/02 01:30,4,57.69
2017/07/02 02:00,5,43.63
2017/07/02 02:30,6,33.63
2017/07/02 03:00,7,51.05
2017/07/02 03:30,8,51.44
2017/07/02 04:00,9,52.83
2017/07/02 04:30,10,53.01
2017/07/02 05:00,11,50.70
2017/07/02 05:30,12,47.81
2017/07/02 06:00,13,31.86
2017/07/02 06:30,14,43.77
2017/07/02 07:00,15,55.02
2017/07/02 07:30,16,105.93
2017/07/02 08:00,17,177.12
2017/07/02 08:30,18,195.67
2017/07/02 09:00,19,161.26
2017/07/02 09:30,20,83.45
2017/07/02 10:00,21,44.52
2017/07/02 10:30,22,93.58
2017/07/02 11:00,23,57.86
2017/07/02 11:30,24,51.18
2017/07/02 12:00,25,39.31
2017/07/02 12:30,26,39.72
2017/07/02 13:00,27,42.50
2017/07/02 13:30,28,31.45
2017/07/02 14:00,29,30.77
2017/07/02 14:30,30,39.04
2017/07/02 15:00,31,44.02
2017/07/02 15:30,32,62.68
2017/07/02 16:00,33,72.03
2017/07/02 16:30,34,73.84
2017/07/02 17:00,35,116.42
2017/07/02 17:30,36,82.78
2017/07/02 18:00,37,257.44
2017/07/02 18:30,38,115.49
2017/07/02 19:00,39,96.40
2017/07/02 19:30,40,81.02
2017/07/02 20:00,41,92.87
2017/07/02 20:30,42,151.54
2017/07/02 21:00,43,122.68
2017/07/02 21:30,44,153.47
2017/07/02 22:00,45,95.63
2017/07/02 22:30,46,110.12
2017/07/02 23:00,47,204.19
2017/07/02 23:30,48,140.57
2017/07/03 00:00,1,58.85
2017/07/03 00:30,2,56.57
2017/07/03 01:00,3,52.09
2017/07/03 01:30,4,40.65
2017/07/03 02:00,5,36.40
2017/07/03 02:30,6,40.45
2017/07/03 03:00,7,52.11
2017/07/03 03:30,8,43.78
2017/07/03 04:00,9,32.50
2017/07/03 04:30,10,28.97
2017/07/03 05:00,11,32.87
2017/07/03 05:30,12,30.60
2017/07/03 06:00,13,30.71
2017/07/03 06:30,14,32.12
2017/07/03 07:00,15,44.51
2017/07/03 07:30,16,53.16
2017/07/03 08:00,17,87.66
2017/07/03 08:30,18,163.30
2017/07/03 09:00,19,90.97
2017/07/03 09:30,20,76.07
2017/07/03 10:00,21,49.07
2017/07/03 10:30,22,38.86
2017/07/03 11:00,23,62.55
2017/07/03 11:30,24,58.12
2017/07/03 12:00,25,50.09
2017/07/03 12:30,26,46.91
2017/07/03 13:00,27,32.83
2017/07/03 13:30,28,35.46
2017/07/03 14:00,29,50.85
2017/07/03 14:30,30,45.64
2017/07/03 15:00,31,52.37
2017/07/03 15:30,32,54.89
2017/07/03 16:00,33,66.16
2017/07/03 16:30,34,78.67
2017/07/03 17:00,35,125.78
2017/07/03 17:30,36,93.72
2017/07/03 18:00,37,222.48
2017/07/03 18:30,38,177.52
2017/07/03 19:00,39,96.12
2017/07/03 19:30,40,87.49
